,0,1
0,42.42,5
1,32.67,15
2,1.9,1
3,9.11,2
4,12.24,4
5,17.16,2
6,3.48,1
7,42.45,5
8,46.51,5
9,4.41,8
10,22.59,6
11,6.89,2
12,39.599999999999994,12
13,4.39,4
14,27.759999999999998,3
15,34.28,7
16,12.49,2
17,9.88,15
18,60.16,12
19,24.37,6
20,21.73,7
21,28.11,10
22,10.91,5
23,29.18,6
24,26.19,3
25,13.59,4
26,9.6,7
27,20.59,7
28,2.56,2
29,13.29,6
